"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",0.10278,0.01395,1.5,0.05282,3,0.01,8.99999999999999,0.01,8.99999999999999,0.01,0.773990422248989,0.760831353472873,0.731877629779762,0.733300594498377
"2",0.10278,0.10278,0,0.03786,3,0.01,8.99999999999999,0.01,3,0.01,0.365524279703182,0.38714909731831,0.371675387831709,0.375651235146798
"3",0.10278,0.02714,1.5,0.03786,1.5,0.01,8.99999999999999,0.01395,8.99999999999999,0.01,2.33496751263524,2.29684733617298,2.19499816758129,2.17318698361048
"4",0.10278,0.05282,0.818181818181818,0.05282,1.5,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.34071229981986,2.30203962809562,2.17250349739618,2.18474457468833
"5",0.14337,0.01,8.99999999999999,0.01,8.99999999999999,0.01395,8.99999999999999,0.01,8.99999999999999,0.01,2.39201404254489,2.42040628478339,2.12968776681262,2.0578919058591
"6",0.10278,0.01395,3,0.01946,1.5,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.3951587084515,2.29537018630465,2.22774860897016,2.08172249627368
"7",0.07368,0.03786,1.5,0.01946,8.99999999999999,0.01395,8.99999999999999,0.01,8.99999999999999,0.01,2.35741212599207,2.46539712455256,2.17267151830486,2.00451923115049
"8",0.10278,0.01946,0.818181818181818,0.01946,0.818181818181818,0.01,8.99999999999999,0.01946,8.99999999999999,0.01,0.79073246168365,0.772930469684418,0.74521176084225,0.691125307789682
"9",0.07368,0.01,1.5,0.01,1.5,0.01,8.99999999999999,0.01,8.99999999999999,0.01,0.398422194020748,0.407212604946878,0.342387237802858,0.351977963229515
"10",0.14337,0.03786,8.99999999999999,0.01,8.99999999999999,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.33810416994196,2.43284474729101,2.11897489617828,2.11007618658874
"11",0.10278,0.05282,8.99999999999999,0.05282,8.99999999999999,0.01,8.99999999999999,0.01,8.99999999999999,0.01946,2.3339333216399,2.32781385238503,2.23181878982308,2.10643403615198
"12",0.10278,0.01395,1.5,0.01395,1.5,0.01395,8.99999999999999,0.01,8.99999999999999,0.01,0.397555481984343,0.396747100016115,0.348939360680885,0.356758057318657
"13",0.10278,0.01946,1.5,0.01395,0.818181818181818,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.24494566095916,2.23700588828346,2.24790307391815,2.27014537683922
"14",0.05282,0.02714,0.428571428571429,0.02714,0.428571428571429,0.01395,8.99999999999999,0.01,8.99999999999999,0.01,2.32888193084111,2.33674277413733,2.1615493725909,2.17282592243066
"15",0.2,0.01946,8.99999999999999,0.03786,3,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.48542993195162,2.40199295048071,2.24021184461469,1.87236527295296
"16",0.10278,0.01946,1.5,0.02714,8.99999999999999,0.01395,8.99999999999999,0.01,8.99999999999999,0.01,2.38130098187468,2.41654406374299,2.18576527163024,2.01638968275209
"17",0.07368,0.01,8.99999999999999,0.01,8.99999999999999,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.48238899408239,2.38591921711057,2.07558758599639,2.05610420281064
"18",0.10278,0.03786,0.818181818181818,0.05282,0.818181818181818,0.01395,8.99999999999999,0.01,8.99999999999999,0.01,2.35336101628273,2.20726196501984,2.25854893847748,2.18082808021994
"19",0.07368,0.01395,3,0.01946,8.99999999999999,0.01,1.5,0.01946,8.99999999999999,0.01,2.33871938849402,2.39298649624023,2.14396536846816,2.12432874679758
"20",0.05282,0.01395,1.5,0.01395,0.818181818181818,0.01,1.5,0.01,3,0.01,0.381210563848278,0.390817545635072,0.365325015127482,0.362646875389168
"21",0.05282,0.02714,0.428571428571429,0.02714,0.428571428571429,0.01,1.5,0.01,8.99999999999999,0.01395,0.209064876369912,0.19973444303384,0.206767245361199,0.202615253416866
"22",0.07368,0.01946,0.818181818181818,0.01946,0.818181818181818,0.01,3,0.01395,8.99999999999999,0.01,0.386319487840136,0.373961900615151,0.360030890887414,0.379687720657298
"23",0.07368,0.01395,0.818181818181818,0.01,1.5,0.01,8.99999999999999,0.01,1.5,0.01,2.18949990428739,2.34965107797864,2.23859210666962,2.22225691106435
"24",0.10278,0.01946,1.5,0.01946,1.5,0.01,8.99999999999999,0.01,8.99999999999999,0.01395,2.37624606125036,2.38139391343037,2.09752325895552,2.14483676636374
"25",0.05282,0.01946,0.818181818181818,0.01946,8.99999999999999,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.33601659551383,2.46296402446141,2.08135978616581,2.11965959385894
"26",0.05282,0.01946,8.99999999999999,0.01,8.99999999999999,0.01,0.818181818181818,0.01,8.99999999999999,0.01,2.27508672578746,2.4381759945409,2.1276215947401,2.15911568493153
"27",0.14337,0.01946,1.5,0.03786,0.818181818181818,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.33560096150551,2.29410742882022,2.1629939886222,2.20729762105206
"28",0.2,0.02714,8.99999999999999,0.01946,1.5,0.01,8.99999999999999,0.01,1.5,0.01,0.393611571280013,0.369832651318483,0.374404492766828,0.362151284634676
"29",0.07368,0.01,0.818181818181818,0.02714,8.99999999999999,0.01,3,0.01,3,0.01,2.37942717414187,2.31333623754505,2.25499915786715,2.05223743044592
"30",0.10278,0.01946,1.5,0.01395,1.5,0.01,8.99999999999999,0.01,8.99999999999999,0.01,0.798030329921671,0.791969975755994,0.693202840232767,0.716796854089568
"31",0.05282,0.02714,0.428571428571429,0.03786,3,0.01,8.99999999999999,0.01946,8.99999999999999,0.01,0.390627247441729,0.383264097193928,0.36985811129318,0.356250544071163
"32",0.10278,0.01,3,0.01,3,0.01,3,0.01,8.99999999999999,0.01,2.36437209367025,2.31794428932281,2.13913980336708,2.17854381363985
"33",0.07368,0.01946,1.5,0.01395,1.5,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.37726908761245,2.3580592036567,2.0931932445301,2.17147846420074
"34",0.03786,0.01,3,0.01,0.818181818181818,0.01,1.5,0.01,8.99999999999999,0.01,2.31990353120731,2.2738068251533,2.32546237354535,2.08082727009403
"35",0.14337,0.01946,0.818181818181818,0.02714,8.99999999999999,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.29407081748782,2.37905526774765,2.15719568003784,2.16967823472668
"36",0.05282,0.02714,0.428571428571429,0.01,1.5,0.01395,0.818181818181818,0.01,8.99999999999999,0.01,0.7694422750645,0.743497130810756,0.735712895941667,0.751347698183077
"37",0.05282,0.01,0.818181818181818,0.01946,0.818181818181818,0.01,8.99999999999999,0.01,1.5,0.01,0.214929154291235,0.207521798661448,0.194131799995924,0.20159906523321
"38",0.05282,0.01,0.818181818181818,0.02714,0.818181818181818,0.01,1.5,0.01,1.5,0.01,0.386671697149367,0.373152522168561,0.373247817236004,0.366927963446068
"39",0.07368,0.01395,0.818181818181818,0.01946,0.818181818181818,0.01,8.99999999999999,0.01,8.99999999999999,0.01,0.391733150907113,0.394670557288514,0.361305028891843,0.35229126291253
"40",0.2,0.01,8.99999999999999,0.03786,8.99999999999999,0.01946,8.99999999999999,0.01,8.99999999999999,0.01,2.40394121792863,2.38641548869233,2.18885856624259,2.02078472713644
"41",0.14337,0.01395,1.5,0.01946,8.99999999999999,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.42650504943752,2.46978681014589,2.06524375563054,2.03846438478603
"42",0.07368,0.01946,0.818181818181818,0.01395,1.5,0.01,8.99999999999999,0.01,8.99999999999999,0.01,0.385453808756147,0.398951076760824,0.369235311994133,0.346359802488895
"43",0.10278,0.01,1.5,0.02714,1.5,0.01,8.99999999999999,0.02714,8.99999999999999,0.01,2.42484120107604,2.37920657817321,2.16780190475904,2.0281503159917
"44",0.07368,0.01395,0.818181818181818,0.01,1.5,0.01,8.99999999999999,0.01,1.5,0.01,0.756029086840571,0.777736088887879,0.745840181971473,0.720394642300077
"45",0.2,0.03786,0.428571428571429,0.05282,1.5,0.01,8.99999999999999,0.01395,8.99999999999999,0.01,0.38501498670411,0.393025217434011,0.373642620382921,0.348317175478959
"46",0.10278,0.07368,0.818181818181818,0.05282,8.99999999999999,0.01,8.99999999999999,0.01395,8.99999999999999,0.01395,2.30154000293486,2.40382589527962,2.27361702074299,2.02101708104252
